,Postal Code,Borough,Neighborhood,latitude,longitude
0,M3A ,North York ,Parkwoods,43.7543263,-79.44911696639593
1,M4A ,North York ,Victoria Village,43.7543263,-79.44911696639593
2,M5A ,Downtown Toronto ,Regent Park / Harbourfront,43.6541737,-79.38081164513409
3,M6A ,North York ,Lawrence Manor / Lawrence Heights,43.7543263,-79.44911696639593
4,M7A ,Downtown Toronto ,Queen's Park / Ontario Provincial Government,43.6541737,-79.38081164513409
5,M9A ,Etobicoke ,Islington Avenue,43.671459150000004,-79.55249206611668
6,M1B ,Scarborough ,Malvern / Rouge,54.2820009,-0.4011868
7,M3B ,North York ,Don Mills,43.7543263,-79.44911696639593
8,M4B ,East York ,Parkview Hill / Woodbine Gardens,39.9737093,-76.6863554
9,M5B ,Downtown Toronto ,"Garden District, Ryerson",43.6541737,-79.38081164513409
10,M6B ,North York ,Glencairn,43.7543263,-79.44911696639593
11,M9B ,Etobicoke ,West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale,43.671459150000004,-79.55249206611668
12,M1C ,Scarborough ,Rouge Hill / Port Union / Highland Creek,54.2820009,-0.4011868
13,M3C ,North York ,Don Mills,43.7543263,-79.44911696639593
14,M4C ,East York ,Woodbine Heights,39.9737093,-76.6863554
15,M5C ,Downtown Toronto ,St. James Town,43.6541737,-79.38081164513409
16,M6C ,York ,Humewood-Cedarvale,53.9590555,-1.0815361
17,M9C ,Etobicoke ,Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood,43.671459150000004,-79.55249206611668
18,M1E ,Scarborough ,Guildwood / Morningside / West Hill,54.2820009,-0.4011868
19,M4E ,East Toronto ,The Beaches,43.6534817,-79.3839347
20,M5E ,Downtown Toronto ,Berczy Park,43.6541737,-79.38081164513409
21,M6E ,York ,Caledonia-Fairbanks,53.9590555,-1.0815361
22,M1G ,Scarborough ,Woburn,54.2820009,-0.4011868
23,M4G ,East York ,Leaside,39.9737093,-76.6863554
24,M5G ,Downtown Toronto ,Central Bay Street,43.6541737,-79.38081164513409
25,M6G ,Downtown Toronto ,Christie,43.6541737,-79.38081164513409
26,M1H ,Scarborough ,Cedarbrae,54.2820009,-0.4011868
27,M2H ,North York ,Hillcrest Village,43.7543263,-79.44911696639593
28,M3H ,North York ,Bathurst Manor / Wilson Heights / Downsview North,43.7543263,-79.44911696639593
29,M4H ,East York ,Thorncliffe Park,39.9737093,-76.6863554
30,M5H ,Downtown Toronto ,Richmond / Adelaide / King,43.6541737,-79.38081164513409
31,M6H ,West Toronto ,Dufferin / Dovercourt Village,43.6534817,-79.3839347
32,M1J ,Scarborough ,Scarborough Village,54.2820009,-0.4011868
33,M2J ,North York ,Fairview / Henry Farm / Oriole,43.7543263,-79.44911696639593
34,M3J ,North York ,Northwood Park / York University,43.7543263,-79.44911696639593
35,M4J ,East York ,East Toronto,39.9737093,-76.6863554
36,M5J ,Downtown Toronto ,Harbourfront East / Union Station / Toronto Islands,43.6541737,-79.38081164513409
37,M6J ,West Toronto ,Little Portugal / Trinity,43.6534817,-79.3839347
38,M1K ,Scarborough ,Kennedy Park / Ionview / East Birchmount Park,54.2820009,-0.4011868
39,M2K ,North York ,Bayview Village,43.7543263,-79.44911696639593
40,M3K ,North York ,Downsview,43.7543263,-79.44911696639593
41,M4K ,East Toronto ,The Danforth West / Riverdale,43.6534817,-79.3839347
42,M5K ,Downtown Toronto ,Toronto Dominion Centre / Design Exchange,43.6541737,-79.38081164513409
43,M6K ,West Toronto ,Brockton / Parkdale Village / Exhibition Place,43.6534817,-79.3839347
44,M1L ,Scarborough ,Golden Mile / Clairlea / Oakridge,54.2820009,-0.4011868
45,M2L ,North York ,York Mills / Silver Hills,43.7543263,-79.44911696639593
46,M3L ,North York ,Downsview,43.7543263,-79.44911696639593
47,M4L ,East Toronto ,India Bazaar / The Beaches West,43.6534817,-79.3839347
48,M5L ,Downtown Toronto ,Commerce Court / Victoria Hotel,43.6541737,-79.38081164513409
49,M6L ,North York ,North Park / Maple Leaf Park / Upwood Park,43.7543263,-79.44911696639593
50,M9L ,North York ,Humber Summit,43.7543263,-79.44911696639593
51,M1M ,Scarborough ,Cliffside / Cliffcrest / Scarborough Village West,54.2820009,-0.4011868
52,M2M ,North York ,Willowdale / Newtonbrook,43.7543263,-79.44911696639593
53,M3M ,North York ,Downsview,43.7543263,-79.44911696639593
54,M4M ,East Toronto ,Studio District,43.6534817,-79.3839347
55,M5M ,North York ,Bedford Park / Lawrence Manor East,43.7543263,-79.44911696639593
56,M6M ,York ,Del Ray / Mount Dennis / Keelsdale and Silverthorn,53.9590555,-1.0815361
57,M9M ,North York ,Humberlea / Emery,43.7543263,-79.44911696639593
58,M1N ,Scarborough ,Birch Cliff / Cliffside West,54.2820009,-0.4011868
59,M2N ,North York ,Willowdale,43.7543263,-79.44911696639593
60,M3N ,North York ,Downsview,43.7543263,-79.44911696639593
61,M4N ,Central Toronto ,Lawrence Park,43.6534817,-79.3839347
62,M5N ,Central Toronto ,Roselawn,43.6534817,-79.3839347
63,M6N ,York ,Runnymede / The Junction North,53.9590555,-1.0815361
64,M9N ,York ,Weston,53.9590555,-1.0815361
65,M1P ,Scarborough ,Dorset Park / Wexford Heights / Scarborough Town Centre,54.2820009,-0.4011868
66,M2P ,North York ,York Mills West,43.7543263,-79.44911696639593
67,M4P ,Central Toronto ,Davisville North,43.6534817,-79.3839347
68,M5P ,Central Toronto ,Forest Hill North & West,43.6534817,-79.3839347
69,M6P ,West Toronto ,High Park / The Junction South,43.6534817,-79.3839347
70,M9P ,Etobicoke ,Westmount,43.671459150000004,-79.55249206611668
71,M1R ,Scarborough ,Wexford / Maryvale,54.2820009,-0.4011868
72,M2R ,North York ,Willowdale,43.7543263,-79.44911696639593
73,M4R ,Central Toronto ,North Toronto West,43.6534817,-79.3839347
74,M5R ,Central Toronto ,The Annex / North Midtown / Yorkville,43.6534817,-79.3839347
75,M6R ,West Toronto ,Parkdale / Roncesvalles,43.6534817,-79.3839347
76,M7R ,Mississauga ,Canada Post Gateway Processing Centre,43.590338,-79.645729
77,M9R ,Etobicoke ,Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens,43.671459150000004,-79.55249206611668
78,M1S ,Scarborough ,Agincourt,54.2820009,-0.4011868
79,M4S ,Central Toronto ,Davisville,43.6534817,-79.3839347
80,M5S ,Downtown Toronto ,University of Toronto / Harbord,43.6541737,-79.38081164513409
81,M6S ,West Toronto ,Runnymede / Swansea,43.6534817,-79.3839347
82,M1T ,Scarborough ,Clarks Corners / Tam O'Shanter / Sullivan,54.2820009,-0.4011868
83,M4T ,Central Toronto ,Moore Park / Summerhill East,43.6534817,-79.3839347
